node_id,node_name,sample_count,mae_mw,rmse_mw,mape_pct
TOWER_CHANGWON,창원 송전탑,1669,20.636795043945312,29.573406219482422,5.898862838745117
TOWER_CHEONGJU,청주 송전탑,1669,17.69765853881836,24.240819931030273,6.165096759796143
TOWER_CHUNCHEON,춘천 송전탑,1669,11.645722389221191,16.320785522460938,5.88961935043335
TOWER_DAEGU,대구 송전탑,1669,31.43720054626465,42.306888580322266,6.45151948928833
TOWER_DAEJEON,대전 송전탑,1669,25.66990852355957,34.633056640625,6.49054479598999
TOWER_DANGJIN,당진 송전탑,1669,13.705942153930664,19.517663955688477,5.771787643432617
TOWER_GANGNEUNG,강릉 송전탑,1669,13.626752853393555,19.570703506469727,5.805588722229004
TOWER_GEOCHANG,거창 송전탑,1669,13.399123191833496,18.572282791137695,6.0339789390563965
TOWER_GUMI,구미 송전탑,1669,16.311132431030273,23.31316566467285,5.766632556915283
TOWER_HADONG,하동 송전탑,1669,7.946295261383057,11.391593933105469,5.918212413787842
TOWER_HAENAM,해남 송전탑,1669,9.798562049865723,13.339311599731445,6.2281646728515625
TOWER_JEJU,제주도 송전탑,1669,10.63150691986084,14.994558334350586,6.352449893951416
TOWER_JEONJU,전주 송전탑,1669,13.759255409240723,19.65256690979004,5.841634750366211
TOWER_NAJU,나주 송전탑,1669,12.861875534057617,18.174571990966797,5.830036640167236
TOWER_PYEONGTAEK,평택 송전탑,1669,19.038738250732422,27.145631790161133,5.777802467346191
TOWER_SAMCHEOK,삼척 송전탑,1669,8.38322925567627,12.040327072143555,5.804973602294922
TOWER_SANGJU,상주 송전탑,1669,9.785062789916992,13.896527290344238,6.117312431335449
TOWER_SEOUL,서울 송전탑,1669,44.73118209838867,64.02356719970703,5.7899041175842285
TOWER_SUWON,수원 송전탑,1669,32.80686569213867,46.96736145019531,5.767019271850586
TOWER_TAEAN,태안 송전탑,1669,6.975591659545898,9.979744911193848,6.032350540161133
TOWER_WOLSEONG,월성 송전탑,1669,9.70405387878418,13.667495727539062,5.858857154846191
TOWER_WONJU,원주 송전탑,1669,12.465347290039062,17.69868278503418,6.082007884979248
TOWER_YEONGCHEON,영천 송전탑,1669,11.094796180725098,15.745219230651855,6.064658164978027
TOWER_YEONGGWANG,영광 송전탑,1669,8.242279052734375,11.767914772033691,5.91699743270874
